code,fiscalYear,fiscalQuarter,revenue,operatingProfit,netIncome,totalAssets,totalEquity,announceDate
G0001,2023,3,157574587772,17729456476,16311099958,544098086220,238982090778,2023-11-14
G0001,2023,4,174758176562,19197319602,15145169847,535557535597,235230857873,2024-02-14
G0001,2024,1,151778722143,13450247354,10189806222,542374961913,238225249576,2024-05-14
G0001,2024,2,160946433930,13070452140,10578140383,550332184614,241720269621,2024-08-14
G0001,2024,3,158827789801,18782309944,16081334645,546485362887,240030645043,2024-11-14
G0001,2024,4,193433601482,15852335715,14506599761,564670124977,248017867521,2025-02-14
G0001,2025,1,168124845206,16029766960,12896182139,580362595696,254910410533,2025-05-14
G0001,2025,2,171985742552,17948732157,13693734350,585306077921,257081717045,2025-08-14
G0001,2025,3,166575506430,15194419530,13978865968,603081995446,264889364312,2025-11-14
G0001,2025,4,200375231175,16034733434,10213939853,590507193198,259366182723,2026-02-13
G0001,2026,1,176404851438,12526206504,10350447870,602387521539,264584333233,2026-05-14
G0001,2026,2,188191016704,20407839204,15784188561,607288349871,266736905041,2026-08-14
G0002,2023,3,225254496670,74388071279,45076611236,1180792400228,726227852278,2023-11-14
G0002,2023,4,245029197911,78414827419,41633072207,1199272164214,737593541376,2024-02-14
G0002,2024,1,215061742019,80466739543,42787942594,1187464935547,730331690508,2024-05-14
G0002,2024,2,216435244958,75375032313,51042256806,1173640493678,721829184288,2024-08-14
G0002,2024,3,215818083608,63089559173,34011095373,1155157705511,710461635215,2024-11-14
G0002,2024,4,225625475888,61055841950,30219106319,1168931461933,718932968145,2025-02-14
G0002,2025,1,209793000448,54789544650,37781626502,1174681385208,722469368303,2025-05-14
G0002,2025,2,222912662307,55326689526,33005726589,1157666578815,712004678404,2025-08-14
G0002,2025,3,208655565945,67768972581,39376174345,1154328746646,709951797062,2025-11-14
G0002,2025,4,234788243498,87120039716,42110714728,1169615665881,719353777056,2026-02-13
G0002,2026,1,205546924507,67449174335,44568068874,1188140732747,730747328980,2026-05-14
G0002,2026,2,234017566429,73181818183,44704000016,1213192903459,746155273787,2026-08-14
G0003,2023,3,11504615382,3361144933,2896727549,52012706262,30513690425,2023-11-14
G0003,2023,4,13437051845,2610126883,2025469375,51219641625,30048432403,2024-02-14
G0003,2024,1,10724005983,3309581386,2640385340,50209751611,29455971955,2024-05-14
G0003,2024,2,11421141137,3587424141,3300430210,51129791607,29995721136,2024-08-14
G0003,2024,3,11608256735,3185806827,2740095263,49900885609,29274773124,2024-11-14
G0003,2024,4,13274024214,2588646843,2218184921,49805812396,29218997626,2025-02-14
G0003,2025,1,11791724296,3212640444,2955629208,51456995206,30187677873,2025-05-14
G0003,2025,2,11986558474,3088810901,2841706029,52149189448,30593759430,2025-08-14
G0003,2025,3,12135934866,2402315178,1908820262,52042511001,30531175625,2025-11-14
G0003,2025,4,12626777373,4156834593,2999102617,52032796537,30525476553,2026-02-13
G0003,2026,1,12221750158,3938993511,2750690817,52477917758,30786610651,2026-05-14
G0003,2026,2,12354128924,4332603446,3734474097,51456881705,30187611286,2026-08-14
G0004,2023,3,416559924933,41785224978,29376497791,1842811688637,929149532766,2023-11-14
G0004,2023,4,512352110125,80168636674,52895431349,1906239233112,961129834213,2024-02-14
G0004,2024,1,448525618397,75055807435,49953157225,1905715328931,960865680622,2024-05-14
G0004,2024,2,440247218894,60023859276,49959314953,1924433701270,970303523360,2024-08-14
G0004,2024,3,425973503232,69406538612,44617124893,1940137457064,978221390090,2024-11-14
G0004,2024,4,507220835736,82613240672,52622210682,1968689339504,992617309321,2025-02-14
G0004,2025,1,466439935974,73530535127,53508516572,1995542273610,1006156615227,2025-05-14
G0004,2025,2,439000461857,47498962923,39196130031,1998061980413,1007427056701,2025-08-14
G0004,2025,3,476926453749,78241403751,53324744534,1955571738744,986003387404,2025-11-14
