log_id,station_id,user_id,start_time,end_time,energy_kwh,fee,payment_method
L006045,ST020,U00296,2026-03-21 22:24:00,2026-03-21 23:19:00,26.47,8470,APP
L008553,ST003,U02395,2026-05-03 02:06:00,2026-05-03 02:44:00,53.41,17091,APP
L007363,ST013,U00332,2026/03/10 06:39:00,2026-03-10 07:29:00,142.41,45571,MEMBERSHIP
L003452,ST023,U00423,2026-03-15 00:11:00,2026-03-15 01:06:00,27.54,8813,APP
L010772,ST007,U00644,2026-07-03 12:28:00,2026-07-03 13:20:00,116.63,37322,APP
L004437,ST008,U02196,2026-07-09 20:30:00,2026-07-10 02:56:00,38.94,9930,APP
L004829,ST005,U01637,2026-06-24 12:10:00,2026-06-24 12:34:00,70.36,22515,CARD
L000208,ST025,U02288,2026-07-16 07:47:00,2026-07-16 15:19:00,46.26,13508,APP
L010043,ST040,U00882,2026-06-18 16:33:00,2026-06-19 00:27:00,66.5,19418,MEMBERSHIP
L005340,ST025,U00397,2026-06-28 14:35:00,2026-06-28 21:35:00,3096.0,9040,app
L001572,ST011,U02340,2026/01/22 09:49:00,2026-01-22 10:09:00,29.04,9293,MEMBERSHIP
L002388,ST011,U01256,2026-06-10 16:38:00,2026-06-10 17:02:00,51.73,16554,CARD
L007466,ST033,U00655,2026-02-10 19:38:00,2026-02-10 20:08:00,42.21,13507,MEMBERSHIP
L011450,ST012,U00108,20260105075300,2026-01-05 08:28:00,25.47,8150,APP
L001847,ST018,U00318,20260215145100,2026-02-15 18:03:00,14.52,4240,MEMBERSHIP
L010932,ST040,U01045,2026-04-10 21:38:00,2026-04-11 00:11:00,21.69,6333,MEMBERSHIP
L011762,ST013,U02138,2026-02-21 18:08:00,2026-02-21 18:48:00,112.35,"35,952",MEMBERSHIP
L003226,ST035,U02059,2026-02-18 06:24:00,2026-02-18 10:25:00,29.02,7400,APP
L009555,ST024,U01639,2026-06-02 00:01:00,2026-06-02 00:29:00,75.76,26289,MEMBERSHIP
L011418,ST015,U01683,2026-03-03 12:48:00,2026-03-03 13:29:00,83.1,26592,APP
L008672,ST026,U02323,2026-03-04 07:59:00,2026-03-04 08:22:00,42.23,16047,MEMBERSHIP
L002010,ST024,U00996,2026/04/07 16:40:00,2026-04-07 17:15:00,69.31,24051,CARD
L009269,ST033,U02736,2026-04-27 21:59:00,2026-04-27 22:38:00,,20982,MEMBERSHIP
L007893,ST033,U02185,2026-05-17 00:07:00,2026-05-17 00:39:00,62.08,19866,MEMBERSHIP
L002525,ST022,U00951,2026-05-03 07:42:00,2026-05-03 08:33:00,N/A,25439,card
L005418,ST039,U00148,2026-07-17 15:26:00,2026-07-17 16:07:00,22.3,7738,CARD
L006323,ST039,U01795,2026-01-11 12:54:00,2026-01-11 13:42:00,34.94,12124,MEMBERSHIP
L003516,ST036,U02510,2026-02-18 14:49:00,2026-02-18 17:21:00,17.87,5218,APP
L004511,ST007,U01616,2026-01-08 12:00:00,2026-01-08 12:29:00,59.92,19174,CARD
L008193,ST004,U01854,2026-06-23 02:25:00,2026-06-23 02:48:00,49.15,15728,MEMBERSHIP
L008849,ST003,U02703,2026-06-23 20:00:00,2026-06-23 20:23:00,36.53,11690,CARD
L010166,ST032,U01929,2026-05-09 18:42:00,2026-05-09 19:03:00,24.41,9276,MEMBERSHIP
L003127,ST005,U02408,2026-05-16 04:32:00,2026-05-16 05:19:00,127.45,40784,MEMBERSHIP
L005728,ST025,U02483,2026-04-19 09:13:00,2026-04-19 11:25:00,11.26,3288,MEMBERSHIP
L006519,ST029,U01460,2026-07-24 07:34:00,2026-07-24 10:38:00,20.65,6030,CARD
L004351,ST025,U00275,2026-02-14 07:40:00,2026-02-14 13:24:00,24.93,7280,APP
L003703,ST017,U00358,2026/04/24 05:16:00,2026-04-24 08:46:00,14.57,4254,APP
L011470,ST039,U01627,2026-07-03 13:54:00,2026-07-03 14:15:00,10.17,"3,529",MEMBERSHIP
L009142,ST007,U02285,2026-06-13 10:55:00,2026-06-13 11:40:00,72.89,23325,CARD
L011046,ST020,U00936,2026-07-01 17:48:00,2026-07-01 18:11:00,15.74,5037,MEMBERSHIP
L005655,ST031,U01220,20260220203700,2026-02-20 20:57:00,,16044,MEMBERSHIP
L004354,ST036,U02888,2026/01/15 14:07:00,2026-01-15 19:03:00,40.69,11881,APP
L008692,ST013,U00774,2026-07-24 13:26:00,2026-07-24 14:17:00,104.81,33539,MEMBERSHIP
L006154,ST023,U02383,2026/02/18 23:24:00,2026-02-19 00:22:00,32.43,10378,APP
L004292,ST030,U00723,2026/07/06 01:52:00,2026-07-06 02:28:00,97.57,31222,MEMBERSHIP
L005440,ST039,U02811,2026-07-17 23:57:00,2026-07-18 00:36:00,18.62,6461,Card
L002972,ST026,U00122,2026-01-12 05:32:00,2026-01-12 06:14:00,93.15,35397,CARD
L004764,ST021,U00577,2026-03-25 02:22:00,2026-03-25 05:20:00,17.04,4976,MEMBERSHIP
L007676,ST037,U01998,2026-02-06 04:27:00,2026-02-06 05:25:00,89.14,30932,MEMBERSHIP
L005254,ST022,U00445,2026-07-21 02:03:00,2026-07-21 02:27:00,49.75,17263,CARD
L010198,ST013,U01761,2026-01-30 14:48:00,2026-01-30 15:28:00,79.92,25574,APP
L006990,ST017,U02167,2026-02-26 05:35:00,2026-02-26 11:33:00,25.77,7525,MEMBERSHIP
L008044,ST023,U00123,2026-07-14 15:17:00,2026-07-14 16:04:00,34.05,10896,CARD
L008651,ST007,U00396,2026-02-17 23:41:00,2026-02-18 00:24:00,90.48,"28,954",APP
L011336,ST008,U01464,2026-02-26 16:49:00,2026-02-26 23:28:00,-,7533,app
L006051,ST031,U01015,2026-07-14 20:57:00,2026-07-14 21:29:00,71.42,27140,MEMBERSHIP
L003951,ST003,U01449,2026-07-05 20:12:00,2026-07-05 21:10:00,117.29,37533,CARD
L005356,ST018,U02455,2026-06-04 07:55:00,2026-06-04 14:05:00,28.04,8188,CARD
L009925,ST013,U00028,2026/04/10 21:50:00,2026-04-10 22:47:00,143.02,45766,APP
L002226,ST039,U01075,2026-07-25 13:46:00,2026-07-25 14:34:00,24.54,,APP
L007253,ST026,U02768,2026-03-13 23:09:00,2026-03-13 23:46:00,98.43,37403,membership
L009316,ST034,U01432,2026-01-12 16:59:00,2026-01-12 17:31:00,61.72,23454,card
L004762,ST011,U02789,2026-03-04 07:34:00,2026-03-04 08:11:00,83.24,,APP
L004745,ST006,U00446,2026-03-04 08:39:00,2026-03-04 10:50:00,9.86,,APP
L003157,ST040,U00166,2026-07-09 00:21:00,2026-07-09 06:58:00,48.98,14302,CARD
L010301,ST005,U01123,2026-06-19 07:03:00,2026-06-19 07:39:00,106.07,33942,APP
L001214,ST039,U01024,2026-06-08 07:46:00,2026-06-08 08:27:00,25.33,8790,CARD
L003928,ST028,U00960,2026-03-24 14:52:00,2026-03-24 15:48:00,65.76,21043,MEMBERSHIP
L006151,ST021,U00858,2026-04-10 20:41:00,2026-04-11 01:55:00,22.38,6535,MEMBERSHIP
L005430,ST034,U02693,2026-02-25 16:19:00,2026-02-25 16:53:00,65.19,24772,CARD
L006950,ST001,U02970,2026/05/22 23:07:00,2026-05-23 00:02:00,117.48,44642,MEMBERSHIP
L001533,ST012,U00916,2026-01-25 16:24:00,2026-01-25 15:18:00,30.33,9706,APP
L000405,ST019,U01972,2026-01-27 04:09:00,2026-01-27 04:43:00,96.89,33621,MEMBERSHIP
L007032,ST001,U02941,2026-02-09 06:56:00,2026-02-09 07:34:00,79.78,30316,APP
L005983,ST037,U02662,2026-05-27 23:58:00,2026-05-28 00:52:00,108.87,37778,APP
