station_id,station_name,region_code,charger_type,capacity_kw,unit_price,installed_date
ST025,들판청사,R06,완속,7,292원,2024-01-15
ST019,그린마트,R01,DC급속,200,347,2021-07-28
ST022,행복마트,R04,DC급속,150,347,2023-02-18
ST009,그린공영주차장,R02,DC급속,50,347,2021.01.15
ST032,별빛역사,R06,DC급속,100,380,20230630
ST004,  언덕역사 ,r01,DC급속,150,320,20240918
ST031,중앙청사,r05,DC급속,150,380,2024-03-21
ST033,들판역사,r03,DC급속,150,320,2021-09-19
ST006,행복터미널,r04,AC완속,7,292,2024-09-08
ST005,바다터미널,R08,DC급속,200,320,2023.07.23
ST003,별빛휴게소,R02,DC급속,150,320,2024-09-25
ST018,한빛공  영주차장,R02,AC완속,7,292원,2022-01-16
ST007,달빛청사,R03,dc급속,150kW,320,2021-01-11
ST005,바다터미널,R08,DC급속,200,320,2023.07.23
ST026,별빛  공원,R05,DC 급속,200,380,2022-06-09
ST027,샘물휴게소,R07,AC완속,7,292,2021-03-01
ST030,새싹청사,r02,DC급속,200,320원,2022-10-29
ST012,구름  역사,R01,DC급속,50kW,320,2022-09-08
ST040,노을청사,R04,완속,11,292,2024-04-23
ST015,새싹터미널,R06,dc급속,150,320,2023-12-30
ST011,미래역사,R08,DC급속,150,320,2024-06-12
ST017,  한빛역사 ,R02,AC완속,7,292,2022-01-29
ST028,  미래터미널 ,R06,DC급속,100,320,20221119
ST036,달빛터미널,R08,AC완속,11,292,2022-04-21
ST008,바다청사,R07,AC 완속,7,255원,20240507
ST014,구름청사,R07,DC급속,50,380,2022-04-07
ST013,샘물역사,R03,DC급속,200,320,2022.04.28
ST002,노을역사,R06,AC완속,11,292,2021-01-03
ST034,별빛공영주차장,R08,DC급속,200,380,2021-09-02
ST023,미래청사,R02,DC급속,50,320,2024-05-10
ST020,샘물마트,R03,DC급속,50,320,20240816
ST029,언덕마트,,AC완속,11,292,2024-10-24
ST039,그린공원,R04,DC급속,50,347,2023-05-17
ST001,노을  공원,,급속,150,380,20210317
ST037,  그린휴게소 ,r04,DC급속,150kW,347,2021.01.10
ST016,들판휴게소,R05,AC완속,7,255,2024.08.03
ST038,그린역사,R04,dc급속,200,320,2022-02-09
ST035,  달빛공원 ,R01,AC완속,11,255,2023.03.29
ST021,구름공영주차장,R02,ac완속,7,292,2023-12-01
ST024,숲속공원,R04,DC 급속,200,347,2021-03-25
ST011,미래역사,R08,DC급속,150,320,2024-06-12
ST010,샘물터미널,R02,AC완속,7,292,2023.04.14
