code,name,sector,price,rate,volume,link
G0001,가온전자,전기전자,9963,0.27,2020931,https://khlab.oneground.ai.kr
G0002,단비자산운용,금융,21387,-0.26,904381,https://khlab.oneground.ai.kr
G0003,보람금융지주,금융,9151,1.79,204908,https://khlab.oneground.ai.kr
G0004,푸른소프트,IT서비스,66014,-0.85,532344,https://khlab.oneground.ai.kr
G0005,샛별소프트,IT서비스,50360,-0.3,396891,https://khlab.oneground.ai.kr
G0006,아람리테일,유통,7373,1.58,53695,https://khlab.oneground.ai.kr
G0007,백두은행,금융,52990,-1.88,2499902,https://khlab.oneground.ai.kr
G0008,아람데이터,IT서비스,60224,1.72,604060,https://khlab.oneground.ai.kr
G0009,벼리캐피탈,금융,11149,0.96,54243,https://khlab.oneground.ai.kr
G0010,태산유통,유통,12670,0.47,394004,https://khlab.oneground.ai.kr
G0011,미소소재,화학,7570,0.29,368374,https://khlab.oneground.ai.kr
G0012,온누리헬스케어,바이오,13384,0.63,11085,https://khlab.oneground.ai.kr
G0013,단비화학,화학,67688,0.08,164916,https://khlab.oneground.ai.kr
G0014,한빛가스,에너지,6778,4.26,378711,https://khlab.oneground.ai.kr
G0015,해솔아이티,IT서비스,13158,1.24,750448,https://khlab.oneground.ai.kr
G0016,단비산업개발,건설,5241,-2.13,331392,https://khlab.oneground.ai.kr
G0017,가온항공,운수장비,50043,-0.69,758356,https://khlab.oneground.ai.kr
G0018,단비생명과학,바이오,19946,0.22,332872,https://khlab.oneground.ai.kr
G0019,아람커머스,유통,55662,-0.97,2373485,https://khlab.oneground.ai.kr
G0020,누리마트,유통,12417,-1.05,1049093,https://khlab.oneground.ai.kr
